Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Attendance,Audience
Recreation,Strictly Tango,03/27/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Agency Produced Event,Arts/Culture,Dance,28,Young Adult;#Adults;#Seniors
Recreation,,03/29/2019 04:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Women's History Month Art Exhibition,Community Based Event,Arts/Culture,,160,Adults;#Young Adult;#Seniors;#General Public
Recreation,,03/29/2019 06:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,March Madness: Adults Basketball tournament,Tournament/Competition,Sport,Tier 1,18,Young Adult;#Adults
Recreation,,03/29/2019 06:00:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Women's History Month: Art Inspired By,Agency Produced Event,Arts/Culture,,44,General Public
Recreation,,03/29/2019 06:30:00 PM,Manhattan,Recreation Center,Recreation Center 54,Strictly Tango,Agency Produced Event,Arts/Culture,Dance,62,Adults;#Teens;#Adaptive;#Seniors;#General Public
Recreation,,03/30/2019 10:00:00 AM,Manhattan,Recreation Center,Gertrude Ederle Recreation Center,Find the SHE-Ro in You,Agency Produced Event,Fitness,Fitness,351,Children;#Young Adult;#Adults;#Teens;#General Public
Recreation,John Bunge,03/30/2019 10:00:00 AM,Manhattan,Recreation Center,Thomas Jefferson Recreation Center,AC&F: Make Your Mark: Fabric Collages,Agency Produced Event,Arts/Culture,AC&F,44,General Public;#Adaptive;#Adults;#Seniors;#Teens;#Young Adult
Urban Park Rangers,GreenThumb,03/30/2019 10:30:00 AM,Manhattan,School,CUNY Graduate Center,GrowTogether - Conference Presentation,Agency Produced Event,Arts/Culture,,14,Adults
Recreation,,03/30/2019 11:00:00 AM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,When We Were Young,Agency Produced Event,Family Festival,Play,62,Children;#Tot;#Teens;#General Public
Recreation,Strictly Tango,04/03/2019 07:00:00 PM,Manhattan,Recreation Center,Chelsea Recreation Center,Strictly Tango Series,Agency Produced Event,Arts/Culture,Dance,55,Young Adult;#Adults;#Seniors
Recreation,Art Students League,04/04/2019 12:00:00 AM,Queens,Recreation Center,Al Oerter Recreation Center,Water Color Workshop,Open House,Arts/Culture,AC&F,30,General Public
Recreation,City Center on the Move,04/05/2019 10:00:00 AM,Queens,Recreation Center,Lost Battalion Hall Recreation Center,Rooted,Open House,Arts/Culture,AC&F,145,General Public
Recreation,AC&F,04/05/2019 06:30:00 PM,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Mobile Unit Presents The Tempest,Agency Produced Event,Arts/Culture,AC&F,85,General Public
Recreation,Earth Celebrations in Collaboration with NYCParks & Solar One,04/06/2019 12:00:00 PM,Manhattan,Recreation Center,Asser Levy Recreation Center,Paint the Mobile Mural,Community Based Event,Arts/Culture,,17,Children;#Young Adult;#Adults;#Teens;#Adaptive;#Seniors;#General Public
